date,amount,note
04/03/2023,82.64,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
07/05/2023,80.57,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
05/09/2022,85.66,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet
25/11/2022,25.35,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
17/04/2023,4.67,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
21/08/2022,51.54,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
24/12/2022,48.44,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
03/11/2022,15.92,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget
21/05/2023,67.53,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
14/01/2023,18.73,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus
28/06/2022,59.95,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
24/05/2023,33.78,metus sapien ut nunc vestibulum ante ipsum primis in faucibus
03/05/2023,97.3,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
21/11/2022,56.07,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
05/07/2022,48.85,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
10/06/2023,93.11,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
22/11/2022,52.07,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
08/02/2023,69.91,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
15/09/2022,73.5,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
08/11/2022,73.76,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
05/11/2022,24.05,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
22/05/2023,48.53,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
22/08/2022,95.45,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
02/04/2023,42.34,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
03/08/2022,73.94,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
18/01/2023,29.68,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
03/05/2023,55.29,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
30/03/2023,58.77,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
18/12/2022,33.89,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
27/02/2023,64.67,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
07/03/2023,83.21,a nibh in quis justo maecenas rhoncus aliquam lacus morbi
15/04/2023,62.0,et tempus semper est quam pharetra magna ac consequat metus
21/02/2023,27.47,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
27/08/2022,95.71,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
03/11/2022,42.37,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
03/12/2022,63.1,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
28/02/2023,54.96,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis
26/09/2022,92.63,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
07/09/2022,14.86,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
03/06/2023,48.96,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
14/08/2022,38.57,sem sed sagittis nam congue risus semper porta volutpat quam pede
23/02/2023,68.43,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
23/08/2022,59.19,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
13/11/2022,82.42,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
06/04/2023,19.91,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
22/02/2023,76.13,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
26/09/2022,10.75,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in
29/03/2023,83.57,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
11/11/2022,71.7,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
20/10/2022,32.31,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
16/01/2023,31.58,cras mi pede malesuada in imperdiet et commodo vulputate justo in
22/09/2022,16.38,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
20/11/2022,22.36,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
19/12/2022,65.78,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
11/09/2022,43.02,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
26/03/2023,89.69,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
28/06/2022,37.17,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
12/07/2022,89.61,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
