monetary_goal,finish_date,poverty_level
3037.2,01/10/2023,low
4543.2,15/04/2024,mid
4962.03,05/10/2023,high
3534.56,12/04/2024,low
4848.84,16/01/2024,low
1040.65,13/02/2024,mid
1081.17,13/02/2025,mid
4725.13,30/08/2023,low
2696.4,15/05/2025,low
4093.82,04/09/2024,high
3716.56,02/02/2024,high
658.85,08/10/2024,mid
3433.23,06/04/2025,low
1507.59,21/06/2023,mid
1442.74,11/06/2025,low
4617.28,31/07/2023,high
2273.33,27/12/2024,high
3813.2,17/01/2025,high
3590.87,11/04/2025,high
1078.44,03/11/2023,high
3503.83,01/07/2023,high
4469.12,13/04/2025,low
3113.79,24/06/2023,high
3133.88,28/10/2023,high
2879.54,13/12/2024,low
722.09,10/10/2024,low
3201.21,28/12/2023,mid
1944.9,04/11/2023,low
2542.42,15/01/2025,mid
1726.67,24/12/2023,high
3166.64,03/03/2025,mid
1296.61,15/11/2023,mid
2545.41,26/07/2023,high
2282.78,04/01/2024,low
4675.55,22/01/2025,mid
4569.08,28/04/2025,low
3618.01,07/12/2024,high
3411.54,31/10/2024,mid
3145.93,13/11/2023,high
1771.84,21/10/2024,high
998.72,18/10/2023,low
4685.21,03/06/2024,high
2754.49,27/12/2024,high
1295.84,25/11/2024,mid
3802.37,14/05/2025,high
4609.9,25/11/2024,high
4231.04,14/12/2024,mid
4250.01,18/06/2023,low
1571.67,07/12/2024,high
1463.32,11/07/2023,mid
2586.37,21/05/2024,high
3652.29,02/01/2024,mid
3507.26,27/06/2024,high
2830.82,02/09/2023,mid
2330.16,13/10/2023,low
2734.75,28/06/2024,mid
4373.25,11/04/2025,high
3459.4,14/06/2024,low
3555.94,24/12/2023,low
4796.93,09/03/2024,high
1909.36,10/07/2023,low
3081.33,23/02/2025,mid
2014.22,21/01/2025,mid
1186.13,01/06/2025,low
3577.46,22/07/2024,low
3778.81,31/05/2024,mid
1710.7,10/04/2024,low
3369.71,02/01/2025,mid
4852.56,13/09/2024,low
2695.73,15/04/2024,low
3847.56,04/05/2024,high
3759.42,19/11/2023,mid
1673.31,26/11/2023,low
1269.48,18/12/2023,mid
1675.87,24/06/2024,mid
3496.68,09/08/2023,mid
4390.9,22/09/2023,low
1902.3,12/04/2025,low
3333.51,06/05/2025,low
4216.39,04/01/2024,low
1424.27,19/09/2023,high
2738.52,10/02/2024,low
646.03,26/06/2024,mid
3684.14,09/12/2023,high
2808.49,21/12/2023,mid
3200.0,08/10/2023,mid
1646.87,18/05/2025,mid
2164.24,30/05/2025,high
4784.6,23/03/2024,high
2478.29,12/10/2023,mid
