kind,price
Vodka - Lemon,14
Pepper - Chilli Seeds Mild,5
Papadam,11
Lemonade - Strawberry,8
Olives - Stuffed,7
Turkey - Breast,20
Tuna - Salad Premix,5
Higashimaru Usukuchi Soy,4
Ice Cream Bar - Drumstick,18
Sauce - Marinara,3
Longos - Chicken Cordon Bleu,15
Beans - French,3
Rice - Wild,9
Tamarind Paste,17
Jolt Cola - Red Eye,11
Wine - Tio Pepe Sherry Fino,19
Evaporated Milk - Skim,9
Cheese - Cream Cheese,1
Wine - Chianti Classico Riserva,16
Table Cloth 53x69 White,20
Capicola - Hot,8
Lettuce - Sea / Sea Asparagus,10
Flower - Potmums,5
Grand Marnier,12
Wine - Merlot Vina Carmen,15
Wine - Prosecco Valdobienne,16
Leeks - Baby,15
Tea - Camomele,3
Oxtail - Cut,8
Oil - Olive,9
Venison - Liver,9
Beef - Striploin,11
Wine - George Duboeuf Rose,14
Tofu - Soft,16
Spice - Onion Powder Granulated,13
Capicola - Hot,10
Trueblue - Blueberry,16
Oil - Olive,12
Nut - Pine Nuts,5
Squid U5 - Thailand,16
Chips Potato Salt Vinegar 43g,18
Pork - Liver,14
Wine - Magnotta - Pinot Gris Sr,1
Beef - Baby,6
Glaze - Apricot,13
Olives - Morracan Dired,13
Numi - Assorted Teas,4
Flour Pastry Super Fine,18
Jolt Cola - Electric Blue,20
Shrimp - Black Tiger 6 - 8,18
Bread - Multigrain Oval,2
Chips Potato Swt Chilli Sour,3
Tuna - Loin,2
Cabbage - Nappa,2
Ecolab - Lime - A - Way 4/4 L,3
Carbonated Water - White Grape,17
Oil - Olive,5
Lemonade - Natural,7
Wine - Mondavi Coastal Private,4
Cake - Dulce De Leche,16
Strawberries - California,14
Wine - Red,4
Shrimp - 16/20,18
Wine - Malbec Trapiche Reserve,9
Orange - Blood,11
Dried Cranberries,14
Juice - Pineapple,14
Scallops - 10/20,20
Peach - Halves,14
Shrimp - Black Tiger 6 - 8,3
Potatoes - Peeled,16
Appetizer - Southwestern,9
Soap - Mr.clean Floor Soap,4
Eggroll,17
Ecolab - Orange Frc,16
Ecolab - Balanced Fusion,7
Kumquat,15
Vol Au Vents,3
Bread Base - Gold Formel,17
Island Oasis - Lemonade,1
Clam Nectar,15
Chocolate - Semi Sweet,1
Mace Ground,10
Pasta - Lasagna Noodle,15
Cheese - Brie Roitelet,20
Mushroom - Trumpet,1
Spoon - Soup,15
Appetiser - Bought,1
Soup - French Onion,13
Rabbit - Whole,5
Napkin Colour,20
Beef - Rouladin,1
Shrimp - Black Tiger 26/30,5
Crush - Cream Soda,9
Rice - 7 Grain Blend,19
Soup - Campbellschix Stew,10
Chinese Foods - Cantonese,4
Lamb - Loin,5
Whmis Spray Bottle Graduated,15
Apple - Northern Spy,12
Garbage Bag - Clear,11
Lettuce - Spring Mix,6
Cloves - Whole,12
Cherries - Frozen,2
Island Oasis - Cappucino Mix,2
Wonton Wrappers,19
Containter - 3oz Microwave Rect.,16
Cup - 8oz Coffee Perforated,10
Chambord Royal,2
Sauerkraut,17
Lettuce - Green Leaf,16
Couscous,10
Wine - White,5
Bread - Multigrain Oval,11
Pasta - Fettuccine,20
Tia Maria,1
Wine - Pinot Grigio Collavini,10
Soup V8 Roasted Red Pepper,11
Soap - Mr.clean Floor Soap,16
Cornflakes,19
Curry Paste - Green Masala,17
